#x	y	new0_flux	flux_lukas_flux
-1.36136	0.0025015	0.484273	0.476264
-1.36136	0.002509	0.534199	0.533886
-1.36136	0.0025165	1.94542	1.93411
-1.36136	0.002524	4.74255	4.70162
-1.36136	0.0025315	8.95001	8.86094
-1.36136	0.002539	14.592	14.4364
-1.36136	0.0025465	21.6924	21.452
-1.36136	0.002554	30.2748	29.9316
-1.25664	0.002464	18.5003	18.1761
-1.25664	0.0024715	12.4486	12.2248
-1.25664	0.002479	7.63811	7.49626
-1.25664	0.0024865	4.09393	4.01533
-1.25664	0.002494	1.84108	1.80707
-1.25664	0.0025015	0.90457	0.896448
-1.25664	0.002509	1.30929	1.30838
-1.25664	0.0025165	3.08	3.06769
-1.25664	0.002524	6.24132	6.19906
-1.25664	0.0025315	10.8176	10.727
-1.25664	0.002539	16.8331	16.6758
-1.25664	0.0025465	24.3117	24.0695
-1.25664	0.002554	33.277	32.9319
-1.15192	0.002464	17.8091	17.4858
-1.15192	0.0024715	12.0773	11.8541
-1.15192	0.002479	7.59196	7.4501
-1.15192	0.0024865	4.37799	4.29897
-1.15192	0.002494	2.46049	2.42569
-1.15192	0.0025015	1.86445	1.85526
-1.15192	0.002509	2.61479	2.61259
-1.15192	0.0025165	4.73627	4.72252
-1.15192	0.002524	8.2535	8.20971
-1.15192	0.0025315	13.1909	13.0987
-1.15192	0.002539	19.5725	19.4137
-1.15192	0.0025465	27.4223	27.1787
-1.15192	0.002554	36.7639	36.4176
-1.0472	0.002464	17.9173	17.6063
-1.0472	0.0024715	12.505	12.2797
-1.0472	0.002479	8.33044	8.18632
-1.0472	0.0024865	5.43281	5.35137
-1.0472	0.002494	3.83715	3.79983
-1.0472	0.0025015	3.56848	3.55673
-1.0472	0.002509	4.65171	4.64699
-1.0472	0.0025165	7.11162	7.09543
-1.0472	0.002524	10.9728	10.9267
-1.0472	0.0025315	16.2596	16.1654
-1.0472	0.002539	22.9962	22.8356
-1.0472	0.0025465	31.1739	30.9437
-1.0472	0.002554	40.8099	40.4814
-0.942478	0.002464	18.9275	18.6483
-0.942478	0.0024715	13.8737	13.6865
-0.942478	0.002479	10.0369	9.89824
-0.942478	0.0024865	7.45571	7.375
-0.942478	0.002494	6.18744	6.14596
-0.942478	0.0025015	6.25738	6.23644
-0.942478	0.002509	7.65892	7.64979
-0.942478	0.0025165	10.4414	10.4212
-0.942478	0.002524	14.631	14.5813
-0.942478	0.0025315	20.2466	20.1547
-0.942478	0.002539	27.2514	27.0979
-0.942478	0.0025465	35.7367	35.5035
-0.942478	0.002554	45.726	45.3954
-0.837758	0.002464	21.2582	20.9725
-0.837758	0.0024715	16.469	16.2757
-0.837758	0.002479	12.9422	12.8227
-0.837758	0.0024865	10.699	10.6072
-0.837758	0.002494	9.71614	9.66407
-0.837758	0.0025015	10.0776	10.0466
-0.837758	0.002509	11.8087	11.7802
-0.837758	0.0025165	14.9344	14.8898
-0.837758	0.002524	19.4795	19.4004
-0.837758	0.0025315	25.3486	25.25
-0.837758	0.002539	32.6769	32.5175
-0.837758	0.0025465	41.4918	41.2536
-0.837758	0.002554	51.8167	51.4821
-0.733038	0.002464	25.2083	24.9117
-0.733038	0.0024715	20.6607	20.457
-0.733038	0.002479	17.3817	17.2524
-0.733038	0.0024865	15.3965	15.3231
-0.733038	0.002494	14.7305	14.6945
-0.733038	0.0025015	15.4088	15.3918
-0.733038	0.002509	17.4567	17.4167
-0.733038	0.0025165	20.8659	20.8088
-0.733038	0.002524	25.699	25.6083
-0.733038	0.0025315	31.9727	31.8399
-0.733038	0.002539	39.6029	39.4345
-0.733038	0.0025465	48.7259	48.48
-0.733038	0.002554	59.3652	59.0241
-0.628319	0.002464	31.0618	30.7613
-0.628319	0.0024715	26.7426	26.5233
-0.628319	0.002479	23.6858	23.5418
-0.628319	0.0024865	21.9292	21.8421
-0.628319	0.002494	21.4983	21.4494
-0.628319	0.0025015	22.4181	22.3891
-0.628319	0.002509	24.7138	24.6862
-0.628319	0.0025165	28.4103	28.3658
-0.628319	0.002524	33.5324	33.4526
-0.628319	0.0025315	40.0922	39.9623
-0.628319	0.002539	48.1017	47.9029
-0.628319	0.0025465	57.6101	57.3244
-0.628319	0.002554	68.6407	68.2507
-0.523599	0.002464	38.9187	38.6105
-0.523599	0.0024715	34.823	34.6092
-0.523599	0.002479	32.0004	31.8628
-0.523599	0.0024865	30.4762	30.3965
-0.523599	0.002494	30.2753	30.2353
-0.523599	0.0025015	31.4228	31.4041
-0.523599	0.002509	33.9435	33.928
-0.523599	0.0025165	37.8621	37.8315
-0.523599	0.002524	43.203	43.1392
-0.523599	0.0025315	49.9905	49.8755
-0.523599	0.002539	58.2485	58.0645
-0.523599	0.0025465	68.0007	67.73
-0.523599	0.002554	79.2704	78.8954
-0.418879	0.002464	49.1466	48.8186
-0.418879	0.0024715	45.2075	44.9751
-0.418879	0.002479	42.5478	42.3929
-0.418879	0.0024865	41.1927	41.097
-0.418879	0.002494	41.1672	41.1126
-0.418879	0.0025015	42.4963	42.4645
-0.418879	0.002509	45.2049	45.1777
-0.418879	0.0025165	49.3177	49.277
-0.418879	0.002524	54.8592	54.7868
-0.418879	0.0025315	61.8535	61.7315
-0.418879	0.002539	70.3247	70.1352
-0.418879	0.0025465	80.2962	80.0217
-0.418879	0.002554	91.7915	91.4145
-0.314159	0.002464	61.9329	61.5781
-0.314159	0.0024715	58.1186	57.8609
-0.314159	0.002479	55.5897	55.411
-0.314159	0.0024865	54.3715	54.2536
-0.314159	0.002494	54.489	54.4138
-0.314159	0.0025015	55.9674	55.9165
-0.314159	0.002509	58.8313	58.7867
-0.314159	0.0025165	63.1055	63.0491
-0.314159	0.002524	68.8146	68.7282
-0.314159	0.0025315	75.9826	75.8485
-0.314159	0.002539	84.6336	84.4338
-0.314159	0.0025465	94.7617	94.5081
-0.314159	0.002554	106.349	106.015
-0.20944	0.002464	77.014	76.7107
-0.20944	0.0024715	73.4076	73.1957
-0.20944	0.002479	71.0835	70.9449
-0.20944	0.0024865	70.0669	69.9746
-0.20944	0.002494	70.3212	70.2484
-0.20944	0.0025015	71.9028	71.8596
-0.20944	0.002509	74.8642	74.8325
-0.20944	0.0025165	79.2295	79.1916
-0.20944	0.002524	85.023	84.9611
-0.20944	0.0025315	92.2684	92.1647
-0.20944	0.002539	100.989	100.826
-0.20944	0.0025465	111.209	110.969
-0.20944	0.002554	122.95	122.617
-0.10472	0.002464	94.4243	94.0946
-0.10472	0.0024715	90.8716	90.6353
-0.10472	0.002479	88.6069	88.4457
-0.10472	0.0024865	87.6551	87.551
-0.10472	0.002494	88.0414	87.9763
-0.10472	0.0025015	89.7908	89.7464
-0.10472	0.002509	92.9279	92.8862
-0.10472	0.0025165	97.4773	97.4203
