#x	y	new0_fix	12_	12a	12b
0.4515	0.20944	123.157	118.731	118.514	119.076
0.4515	0.314159	137.821	133.447	133.245	133.755
0.4515	0.418879	153.25	148.942	148.743	149.246
0.4515	0.523599	169.149	164.971	164.777	165.268
0.4515	0.628319	185.168	181.185	180.998	181.47
0.4515	0.733038	200.915	197.158	196.991	197.422
0.4515	0.837758	215.914	212.462	212.307	212.706
0.4515	0.942478	229.754	226.656	226.515	226.876
0.4515	1.0472	242.01	239.297	239.17	239.492
0.4515	1.15192	252.278	249.968	249.857	250.136
0.4515	1.25664	260.206	258.304	258.208	258.445
0.4515	1.36136	265.42	263.913	263.841	264.021
0.4515	1.46608	267.807	266.675	266.618	266.759
0.4515	1.5708	267.308	266.512	266.467	266.574
0.4515	1.67552	263.938	263.43	263.404	263.468
0.4515	1.78024	257.742	257.461	257.443	257.485
0.4515	1.88496	249.062	248.942	248.928	248.957
0.4515	1.98968	238.207	238.181	238.168	238.194
0.4515	2.0944	225.55	225.553	225.537	225.569
0.4515	2.19911	211.494	211.462	211.451	211.473
0.4515	2.30383	196.425	196.309	196.293	196.331
0.4515	2.40855	180.821	180.583	180.557	180.619
0.4515	2.51327	165.077	164.692	164.656	164.744
0.4515	2.61799	149.553	149.01	148.963	149.079
0.4515	2.72271	134.56	133.862	133.804	133.948
0.4515	2.82743	120.491	119.52	119.453	119.622
0.4515	2.93215	107.277	106.199	106.124	106.314
0.4515	3.03687	94.848	94.0301	93.9295	94.1723
0.4515	3.14159	83.5736	82.7212	82.8804	82.8706
0.46	-3.14159	67.9206	66.6853	66.6111	66.8055
0.46	-3.03687	58.0678	57.158	57.0773	57.257
0.46	-2.93215	49.5546	48.6891	48.621	48.7855
0.46	-2.82743	42.1061	41.4909	41.4382	41.5703
0.46	-2.72271	35.8938	35.3688	35.3204	35.4408
0.46	-2.61799	30.8837	30.4631	30.4201	30.5259
0.46	-2.51327	26.9588	26.6477	26.6108	26.7004
0.46	-2.40855	23.9868	23.7812	23.7505	23.8235
0.46	-2.30383	21.8032	21.7129	21.6883	21.7455
0.46	-2.19911	20.248	20.2402	20.2217	20.2618
0.46	-2.0944	19.2429	19.2454	19.2299	19.2627
0.46	-1.98968	18.6522	18.6268	18.6128	18.6422
0.46	-1.88496	18.3569	18.2607	18.2463	18.2776
0.46	-1.78024	18.2601	18.0474	18.0305	18.0692
0.46	-1.67552	18.2919	17.8998	17.8655	17.9427
0.46	-1.5708	18.3584	17.741	17.7015	17.794
0.46	-1.46608	18.5929	17.7759	17.7385	17.8346
0.46	-1.36136	18.7976	17.7949	17.7463	17.8732
0.46	-1.25664	19.1717	17.961	17.9032	18.0482
0.46	-1.15192	19.7525	18.2451	18.1636	18.3633
0.46	-1.0472	20.6834	18.8263	18.7333	18.9658
0.46	-0.942478	22.1227	19.9141	19.8081	20.0773
0.46	-0.837758	24.222	21.6744	21.554	21.8632
0.46	-0.733038	27.1403	24.2808	24.1453	24.4968
0.46	-0.628319	31.0349	27.9073	27.756	28.1512
0.46	-0.523599	35.9955	32.5801	32.4291	32.8167
0.46	-0.418879	42.2185	38.4611	38.2974	38.7206
0.46	-0.314159	49.7389	45.7389	45.563	46.0203
0.46	-0.20944	58.4386	54.4975	54.3102	54.7991
0.46	-0.10472	68.5569	64.4948	64.3235	64.7727
0.46	-2.66454e-15	79.9154	75.8451	75.6662	76.1364
0.46	0.10472	92.2727	88.4368	88.2769	88.6985
0.46	0.20944	105.634	101.908	101.741	102.174
0.46	0.314159	119.573	116.17	116.025	116.401
0.46	0.418879	134.238	130.892	130.749	131.12
0.46	0.523599	149.35	146.115	145.976	146.337
0.46	0.628319	164.574	161.506	161.373	161.717
0.46	0.733038	179.539	176.686	176.561	176.883
0.46	0.837758	193.806	191.205	191.095	191.386
0.46	0.942478	206.957	204.654	204.555	204.814
0.46	1.0472	218.6	216.619	216.534	216.758
0.46	1.15192	228.355	226.709	226.636	226.824
0.46	1.25664	235.889	234.575	234.517	234.668
0.46	1.36136	240.885	239.898	239.856	239.969
0.46	1.46608	243.157	242.463	242.432	242.512
0.46	1.5708	242.691	242.248	242.227	242.279
0.46	1.67552	239.512	239.27	239.257	239.288
0.46	1.78024	233.694	233.6	233.595	233.606
0.46	1.88496	225.464	225.447	225.446	225.448
0.46	1.98968	215.171	215.169	215.167	215.17
0.46	2.0944	203.168	203.12	203.115	203.127
0.46	2.19911	189.843	189.696	189.684	189.713
0.46	2.30383	175.598	175.308	175.288	175.339
0.46	2.40855	160.829	160.341	160.318	160.38
0.46	2.51327	145.892	145.206	145.173	145.262
0.46	2.61799	131.163	130.275	130.231	130.349
0.46	2.72271	116.936	115.857	115.802	115.947
