#x	y	stats	nuenorm1_corr	nuenorm2_corr	nuenorm3_corr	nuenorm4_corr	nuenorm5_corr
-1.67552	0.0025165	1.12773	1.12747	1.12716	1.12699	1.12691	1.12686
-1.67552	0.002524	5.12051	5.12027	5.11998	5.11983	5.11975	5.11971
-1.67552	0.0025315	11.9827	11.8523	11.6973	11.617	11.577	11.5554
-1.67552	0.002539	21.3147	21.1849	21.0306	20.9505	20.9107	20.8893
-1.67552	0.0025465	33.6122	33.4835	33.3304	33.251	33.2115	33.1902
-1.67552	0.002554	48.8684	48.7412	48.5899	48.5114	48.4725	48.4514
-1.5708	0.002464	52.0346	52.0301	52.0246	52.0218	52.0203	52.0196
-1.5708	0.0024715	36.0048	36.0007	35.9958	35.9932	35.9919	35.9912
-1.5708	0.002479	22.9799	22.9761	22.9716	22.9692	22.9681	22.9674
-1.5708	0.0024865	12.9596	12.956	12.9518	12.9398	12.8946	12.8701
-1.5708	0.002494	5.94283	5.93945	5.90034	5.81073	5.76583	5.74146
-1.5708	0.0025015	1.49642	1.49642	1.49642	1.49642	1.49642	1.49642
-1.5708	0.002509	0	0	0	0	0	0
-1.5708	0.0025165	1.4952	1.4952	1.4952	1.4952	1.4952	1.4952
-1.5708	0.002524	5.97795	5.97795	5.97794	5.97794	5.97794	5.96313
-1.5708	0.0025315	13.2724	13.1338	12.969	12.8835	12.841	12.8181
-1.5708	0.002539	23.0931	22.9566	22.7942	22.71	22.6682	22.6456
-1.5708	0.0025465	35.8785	35.7446	35.5853	35.5027	35.4617	35.4395
-1.5708	0.002554	51.6215	51.4907	51.335	51.2543	51.2142	51.1926
-1.46608	0.002464	49.2762	49.2731	49.2695	49.2676	49.2666	49.2661
-1.46608	0.0024715	33.7335	33.7305	33.7271	33.7253	33.7243	33.7239
-1.46608	0.002479	21.1957	21.1929	21.1895	21.1877	21.1868	21.1863
-1.46608	0.0024865	11.6627	11.6598	11.6564	11.6525	11.6086	11.5848
-1.46608	0.002494	5.13141	5.13021	5.09935	5.01144	4.96739	4.94348
-1.46608	0.0025015	1.13246	1.13246	1.13246	1.13246	1.13246	1.13246
-1.46608	0.002509	0.128232	0.128231	0.128231	0.128231	0.12823	0.12823
-1.46608	0.0025165	2.11533	2.11531	2.1153	2.11529	2.11529	2.11529
-1.46608	0.002524	7.08958	7.08954	7.08948	7.06523	7.02338	7.00077
-1.46608	0.0025315	14.7893	14.6558	14.497	14.4147	14.3738	14.3517
-1.46608	0.002539	25.1005	24.9706	24.816	24.7359	24.6961	24.6746
-1.46608	0.0025465	38.3758	38.2498	38.1	38.0224	37.9838	37.9629
-1.46608	0.002554	54.608	54.4865	54.3419	54.267	54.2297	54.2096
-1.36136	0.002464	46.8183	46.8146	46.81	46.8077	46.8065	46.8058
-1.36136	0.0024715	31.7581	31.7542	31.7495	31.747	31.7458	31.7452
-1.36136	0.002479	19.7031	19.699	19.6941	19.6915	19.6902	19.6895
-1.36136	0.0024865	10.6531	10.6487	10.6434	10.6406	10.6243	10.5988
-1.36136	0.002494	4.58617	4.58604	4.58587	4.51396	4.46634	4.44048
-1.36136	0.0025015	1.0757	1.07546	1.07518	1.07504	1.07496	1.07492
-1.36136	0.002509	0.559925	0.559542	0.559084	0.558845	0.558726	0.558651
-1.36136	0.0025165	3.03538	3.03478	3.03406	3.03368	3.03349	3.03339
-1.36136	0.002524	8.49782	8.49692	8.47887	8.40478	8.36796	8.34807
-1.36136	0.0025315	16.5704	16.4547	16.317	16.2455	16.21	16.1908
-1.36136	0.002539	27.3692	27.2581	27.1259	27.0574	27.0233	27.0049
-1.36136	0.0025465	41.1315	41.0255	40.8993	40.8339	40.8013	40.7837
-1.36136	0.002554	57.8504	57.7497	57.6298	57.5676	57.5367	57.52
-1.25664	0.002464	44.8182	44.8107	44.8017	44.797	44.7946	44.7934
-1.25664	0.0024715	30.2309	30.2229	30.2132	30.2082	30.2057	30.2043
-1.25664	0.002479	18.6495	18.6408	18.6303	18.6248	18.6221	18.6206
-1.25664	0.0024865	10.0735	10.0639	10.0524	10.0464	10.0434	10.0418
-1.25664	0.002494	4.48554	4.48354	4.46578	4.4155	4.39048	4.36332
-1.25664	0.0025015	1.4547	1.45215	1.44912	1.44753	1.44674	1.44631
-1.25664	0.002509	1.41874	1.41553	1.41168	1.40967	1.40867	1.40812
-1.25664	0.0025165	4.37412	4.37006	4.36522	4.36269	4.36142	4.36072
-1.25664	0.002524	10.3165	10.3114	10.2099	10.1523	10.1236	10.1081
-1.25664	0.0025315	18.7227	18.6344	18.5293	18.4747	18.4476	18.4329
-1.25664	0.002539	30.001	29.918	29.8191	29.7678	29.7422	29.7284
-1.25664	0.0025465	44.2428	44.1652	44.0728	44.0248	43.9584	43.8775
-1.25664	0.002554	61.4407	61.3687	61.283	61.1507	61.0057	60.9268
-1.15192	0.002464	43.5014	43.4844	43.4641	43.4535	43.4482	43.4453
-1.15192	0.0024715	29.3729	29.3546	29.3326	29.3212	29.3155	29.3123
-1.15192	0.002479	18.251	18.2311	18.2072	18.1948	18.1886	18.1852
-1.15192	0.0024865	10.1352	10.1134	10.0873	10.0737	10.0669	10.0632
-1.15192	0.002494	5.02401	4.99521	4.93019	4.8964	4.87957	4.87047
-1.15192	0.0025015	2.46397	2.45331	2.44055	2.43389	2.43056	2.42874
-1.15192	0.002509	2.89432	2.88189	2.86701	2.85923	2.85534	2.85323
-1.15192	0.0025165	6.31629	6.30177	6.28443	6.27536	6.27082	6.20905
-1.15192	0.002524	12.6422	12.5813	12.5087	12.471	12.4523	12.4421
-1.15192	0.0025315	21.4174	21.3614	21.2948	21.2601	21.1733	21.074
-1.15192	0.002539	33.1626	33.1117	33.0509	32.9058	32.7409	32.6511
-1.15192	0.0025465	47.8712	47.8253	47.7706	47.4446	47.2741	47.1814
-1.15192	0.002554	65.5357	65.4949	65.2926	64.942	64.7656	64.6696
-1.0472	0.002464	43.1522	43.1154	43.0714	43.0484	43.0368	43.0306
-1.0472	0.0024715	29.4638	29.4242	29.3769	29.3522	29.3398	29.333
-1.0472	0.002479	18.7828	18.7401	18.6891	18.6623	18.649	18.6417
-1.0472	0.0024865	11.0762	11.0461	11.0072	10.9782	10.9637	10.9559
-1.0472	0.002494	6.30447	6.2774	6.24514	6.22835	6.21998	6.16869
-1.0472	0.0025015	4.35492	4.32487	4.28893	4.27013	4.26072	4.24208
-1.0472	0.002509	5.23329	5.19963	5.15937	5.1383	5.12776	4.97124
-1.0472	0.0025165	9.10374	9.06601	8.98084	8.89809	8.85663	8.69241
-1.0472	0.002524	15.658	15.6286	15.5936	15.5247	15.3326	15.228
-1.0472	0.0025315	24.8821	24.8568	24.8265	24.5522	24.3538	24.2458
-1.0472	0.002539	37.0765	37.055	36.9598	36.5523	36.3471	36.2354
-1.0472	0.0025465	52.1226	52.0977	51.9398	51.5181	51.3058	51.1902
-1.0472	0.002554	70.0355	70.0059	69.8789	69.4422	69.2223	69.1025
-0.942478	0.002464	44.1011	44.0279	43.9401	43.8942	43.8712	43.8587
-0.942478	0.0024715	30.7824	30.7514	30.6578	30.6088	30.5842	30.5709
-0.942478	0.002479	20.422	20.4121	20.3828	20.3304	20.3041	20.2898
-0.942478	0.0024865	13.0663	13.0583	13.0488	13.0438	13.0299	13.0146
-0.942478	0.002494	8.71395	8.70777	8.7004	8.69653	8.68474	8.59998
-0.942478	0.0025015	7.36264	7.35617	7.27533	7.17429	7.11585	7.0091
-0.942478	0.002509	8.72722	8.65339	8.43378	8.31042	8.24855	8.14031
-0.942478	0.0025165	13.0234	12.8182	12.5694	12.4387	12.3731	12.2636
-0.942478	0.002524	19.7379	19.7316	19.693	19.3982	19.1555	19.0233
-0.942478	0.0025315	29.3886	29.3819	29.3198	28.8291	28.5783	28.4417
-0.942478	0.002539	41.8363	41.7773	41.7067	41.2325	40.9731	40.8318
-0.942478	0.0025465	57.2055	57.1387	57.0588	56.6014	56.333	56.1867
-0.942478	0.002554	75.5343	75.4589	75.3685	74.9284	74.6503	74.4987
-0.837758	0.002464	46.4861	46.4856	46.4144	46.3302	46.288	46.265
-0.837758	0.0024715	33.5094	33.5093	33.5091	33.4259	33.3812	33.3569
-0.837758	0.002479	23.5393	23.5393	23.5393	23.5292	23.4818	23.456
-0.837758	0.0024865	16.575	16.5749	16.5747	16.5746	16.5745	16.5614
-0.837758	0.002494	12.615	12.6144	12.6138	12.6134	12.6132	12.5085
-0.837758	0.0025015	11.6569	11.6556	11.5463	11.3654	11.2745	11.2251
-0.837758	0.002509	13.6272	13.4321	13.0701	12.8796	12.7839	12.7319
-0.837758	0.0025165	18.1155	17.9685	17.5869	17.3861	17.2852	17.2303
