#x	y	stats	nuenorm1_corr	nuenorm2_corr	nuenorm3_corr	nuenorm4_corr	nuenorm5_corr
0.545	0.0024715	44.3107	44.142	43.6954	43.4647	43.3504	43.2432
0.545	0.002479	31.3768	31.3718	30.9901	30.7151	30.5789	30.5055
0.545	0.0024865	21.4335	21.4276	21.0893	20.8193	20.6855	20.6134
0.545	0.002494	14.0321	14.0309	13.8714	13.5648	13.4131	13.3313
0.545	0.0025015	9.33356	9.33354	9.30772	8.97546	8.81104	8.72241
0.545	0.002509	7.10889	7.10881	7.10869	6.83131	6.66035	6.56822
0.545	0.0025165	7.05438	7.05434	7.05431	6.83716	6.67311	6.58468
0.545	0.002524	9.25072	9.24941	9.24784	9.04387	8.89309	8.8118
0.545	0.0025315	13.8667	13.8602	13.8523	13.6342	13.5019	13.4305
0.545	0.002539	21.101	21.0816	21.0161	20.7943	20.6844	20.6251
0.545	0.0025465	31.1162	31.0981	30.9506	30.7789	30.6937	30.6477
0.545	0.002554	43.7593	43.7172	43.5107	43.3353	43.2483	43.2013
0.5535	0.002464	78.2713	78.2115	77.8345	77.2327	76.8861	76.4107
0.5535	0.0024715	61.8612	61.8046	61.4874	60.8933	60.6	60.1429
0.5535	0.002479	48.2379	48.1515	48.0238	47.3605	47.0334	46.6878
0.5535	0.0024865	37.3421	37.2593	37.1606	36.5324	36.2089	35.9267
0.5535	0.002494	29.2128	29.1032	28.9728	28.4688	28.118	27.9277
0.5535	0.0025015	23.7466	23.617	23.4629	23.0602	22.6906	22.4918
0.5535	0.002509	20.7172	20.577	20.4101	20.0897	19.7105	19.5066
0.5535	0.0025165	19.9432	19.8142	19.6607	19.4175	19.039	18.8352
0.5535	0.002524	21.2334	21.1252	20.9966	20.7894	20.44	20.2521
0.5535	0.0025315	24.9011	24.8203	24.724	24.5323	24.2109	24.038
0.5535	0.002539	31.1402	31.0891	31.0282	30.8269	30.5405	30.3864
0.5535	0.0025465	40.1302	40.077	40.0137	39.8362	39.5472	39.3916
0.5535	0.002554	51.7161	51.6905	51.66	51.4386	51.1894	51.0553
0.562	0.002464	110.106	109.735	109.118	107.988	107.003	106.306
0.562	0.0024715	92.6338	92.2707	91.7253	90.6055	89.6968	89.0032
0.562	0.002479	78.1341	77.7795	77.2781	76.1809	75.365	74.6455
0.562	0.0024865	66.2477	65.8218	65.3168	64.2885	63.5542	62.8281
0.562	0.002494	57.2388	56.7964	56.2226	55.306	54.6584	53.9039
0.562	0.0025015	50.7688	50.2922	49.7273	48.875	48.2524	47.5428
0.562	0.002509	46.9051	46.3859	45.7706	45.0089	44.3605	43.73
0.562	0.0025165	45.3053	44.7589	44.1117	43.4468	42.7824	42.2409
0.562	0.002524	45.6888	45.2076	44.6373	44.0505	43.4155	42.9404
0.562	0.0025315	48.2969	47.8753	47.3755	46.8321	46.2437	45.8513
0.562	0.002539	53.4279	53.0785	52.6639	52.1454	51.6032	51.2417
0.562	0.0025465	61.2523	60.8976	60.4768	59.9857	59.4407	59.1219
0.562	0.002554	71.6655	71.3897	71.0622	70.5674	70.0769	69.787
0.5705	0.002464	159.401	158.556	157.153	155.215	153.411	151.832
0.5705	0.0024715	140.878	139.943	138.627	136.77	134.983	133.476
0.5705	0.002479	125.213	124.291	123.058	121.27	119.511	118.085
0.5705	0.0024865	112.408	111.419	110.197	108.379	106.713	105.376
0.5705	0.002494	102.171	101.236	100.029	98.2875	96.6992	95.4401
0.5705	0.0025015	94.4271	93.7466	92.4328	90.7846	89.2747	88.0927
0.5705	0.002509	89.3394	88.8518	87.4621	85.8975	84.4613	83.3521
0.5705	0.0025165	86.6899	86.3372	84.907	83.4198	82.0554	81.0013
0.5705	0.002524	86.1744	85.8777	84.4779	83.0866	81.8192	80.7742
0.5705	0.0025315	87.8995	87.5171	86.2454	84.9255	83.7365	82.7136
0.5705	0.002539	92.0095	91.574	90.3704	89.1145	88.0013	87.011
0.5705	0.0025465	98.6924	98.1211	97.0313	95.8273	94.7843	93.8362
0.5705	0.002554	108.127	107.409	106.472	105.302	104.313	103.362
0.579	0.002464	230.433	228.841	226.13	222.709	219.518	216.854
0.579	0.0024715	210.562	209.275	206.635	203.256	200.131	197.552
0.579	0.002479	193.627	192.405	189.857	186.571	183.536	181.043
0.579	0.0024865	179.504	178.484	176.03	172.826	169.849	167.431
0.579	0.002494	168.015	167.143	164.738	161.575	158.682	156.346
0.579	0.0025015	159.289	158.646	156.277	153.16	150.32	148.049
0.579	0.002509	153.181	152.631	150.245	147.31	144.543	142.339
0.579	0.0025165	149.473	149.016	146.613	143.869	141.153	139.019
0.579	0.002524	148.029	147.57	145.247	142.632	140.02	137.935
0.579	0.0025315	148.608	148.204	145.953	143.457	141.034	138.992
0.579	0.002539	151.513	151.161	148.945	146.537	144.213	142.245
0.579	0.0025465	156.94	156.509	154.443	152.117	149.88	147.993
0.579	0.002554	165.022	164.539	162.557	160.263	158.058	156.202
