#x	y	12_	12a	12b
-2.82743	0.0024715	25.907	25.6675	26.2694
-2.82743	0.002479	23.641	23.4459	23.9447
-2.82743	0.0024865	21.8064	21.6475	22.0619
-2.82743	0.002494	20.414	20.2844	20.6233
-2.82743	0.0025015	19.4719	19.364	19.6542
-2.82743	0.002509	18.9013	18.8119	19.0527
-2.82743	0.0025165	18.7497	18.6675	18.8879
-2.82743	0.002524	19.0808	18.9993	19.2144
-2.82743	0.0025315	19.7644	19.6724	19.9097
-2.82743	0.002539	20.96	20.8573	21.1163
-2.82743	0.0025465	22.6848	22.4851	22.8503
-2.82743	0.002554	24.8406	24.6918	25.0478
-2.72271	0.002464	23.8877	23.599	24.3108
-2.72271	0.0024715	21.2037	20.9684	21.5573
-2.72271	0.002479	18.9427	18.7524	19.237
-2.72271	0.0024865	17.1115	16.9576	17.3568
-2.72271	0.002494	15.7071	15.5943	15.8909
-2.72271	0.0025015	14.6995	14.603	14.8548
-2.72271	0.002509	14.0782	13.9946	14.2201
-2.72271	0.0025165	13.9231	13.847	14.0515
-2.72271	0.002524	14.2306	14.153	14.358
-2.72271	0.0025315	14.9447	14.8589	15.0797
-2.72271	0.002539	16.1552	16.0585	16.3015
-2.72271	0.0025465	17.893	17.7395	18.049
-2.72271	0.002554	20.0635	19.6961	20.3585
-2.61799	0.002464	20.0803	19.7986	20.4739
-2.61799	0.0024715	17.361	17.1458	17.6782
-2.61799	0.002479	15.0545	14.8844	15.3126
-2.61799	0.0024865	13.1747	13.0413	13.3841
-2.61799	0.002494	11.7297	11.6244	11.9005
-2.61799	0.0025015	10.7283	10.6431	10.8706
-2.61799	0.002509	10.1815	10.1095	10.3041
-2.61799	0.0025165	10.0463	9.97761	10.1623
-2.61799	0.002524	10.353	10.2828	10.468
-2.61799	0.0025315	11.0885	11.0099	11.2112
-2.61799	0.002539	12.3187	12.229	12.4532
-2.61799	0.0025465	14.0327	13.9437	14.1614
-2.61799	0.002554	16.1227	15.9692	16.3668
-2.51327	0.002464	16.9125	16.6527	17.2824
-2.51327	0.0024715	14.2038	13.9977	14.5047
-2.51327	0.002479	11.9137	11.7528	12.1557
-2.51327	0.0024865	10.049	9.92477	10.2424
-2.51327	0.002494	8.61773	8.52168	8.77276
-2.51327	0.0025015	7.62894	7.55281	7.75575
