#x	y	12_	12a	12b
0.0197777	3.14159	53.7332	53.6938	53.7984
0.0204311	-3.14159	48.2336	48.1786	48.3247
0.0204311	-3.03687	39.1131	39.0583	39.2043
0.0204311	-2.93215	31.2198	31.1669	31.308
0.0204311	-2.82743	24.5288	24.4793	24.613
0.0204311	-2.72271	18.9801	18.9384	19.0514
0.0204311	-2.61799	14.4876	14.4507	14.5491
0.0204311	-2.51327	10.9527	10.9222	11.0034
0.0204311	-2.40855	8.22145	8.19745	8.26182
0.0204311	-2.30383	6.21094	6.19354	6.24022
0.0204311	-2.19911	4.79294	4.7815	4.81215
0.0204311	-2.0944	3.83856	3.83206	3.84941
0.0204311	-1.98968	3.20907	3.20554	3.21494
0.0204311	-1.88496	2.81651	2.8156	2.81804
0.0204311	-1.78024	2.58743	2.58743	2.58744
0.0204311	-1.67552	2.4648	2.46386	2.46633
0.0204311	-1.5708	2.40469	2.40122	2.41047
0.0204311	-1.46608	2.33988	2.33259	2.35171
0.0204311	-1.36136	2.35715	2.34428	2.37888
0.0204311	-1.25664	2.51889	2.49849	2.55326
0.0204311	-1.15192	2.90808	2.87852	2.95778
0.0204311	-1.0472	3.63356	3.59086	3.69843
0.0204311	-0.942478	4.77129	4.72154	4.85523
0.0204311	-0.837758	6.5015	6.43896	6.57195
0.0204311	-0.733038	8.924	8.85471	9.04071
0.0204311	-0.628319	12.2594	12.1779	12.3969
0.0204311	-0.523599	16.6189	16.5243	16.7786
0.0204311	-0.418879	22.0982	21.9918	22.2783
0.0204311	-0.314159	28.7743	28.6613	28.965
0.0204311	-0.20944	36.6447	36.5207	36.8535
0.0204311	-0.10472	45.7708	45.6372	45.9964
0.0204311	-2.66454e-15	56.1773	56.0346	56.4183
0.0204311	0.10472	67.8045	67.6545	68.058
0.0204311	0.20944	80.5396	80.3842	80.8018
0.0204311	0.314159	94.1688	94.0244	94.4116
0.0204311	0.418879	108.138	107.995	108.38
0.0204311	0.523599	122.526	122.385	122.763
0.0204311	0.628319	137.019	136.884	137.246
0.0204311	0.733038	151.269	151.142	151.482
0.0204311	0.837758	164.899	164.783	165.094
0.0204311	0.942478	177.502	177.403	177.667
0.0204311	1.0472	188.333	188.246	188.476
0.0204311	1.15192	197.469	197.396	197.59
0.0204311	1.25664	204.606	204.543	204.71
0.0204311	1.36136	209.407	209.358	209.488
0.0204311	1.46608	211.809	211.773	211.868
0.0204311	1.5708	211.735	211.711	211.774
0.0204311	1.67552	209.189	209.171	209.218
0.0204311	1.78024	204.173	204.163	204.188
0.0204311	1.88496	196.978	196.974	196.983
0.0204311	1.98968	187.854	187.854	187.855
0.0204311	2.0944	177.106	177.106	177.107
0.0204311	2.19911	164.988	164.963	164.987
0.0204311	2.30383	151.514	151.554	151.533
0.0204311	2.40855	137.489	137.472	137.515
0.0204311	2.51327	123.255	123.233	123.292
0.0204311	2.61799	109.144	109.115	109.192
0.0204311	2.72271	95.4474	95.412	95.5061
0.0204311	2.82743	82.4126	82.3713	82.4815
0.0204311	2.93215	70.0796	70.0317	70.1601
0.0204311	3.03687	58.6048	58.5546	58.6876
0.0204311	3.14159	48.2336	48.1786	48.3247
0.0210845	-3.14159	44.1028	44.0368	44.2144
0.0210845	-3.03687	35.455	35.388	35.5681
0.0210845	-2.93215	27.9727	27.9069	28.082
0.0210845	-2.82743	21.5935	21.5357	21.6935
0.0210845	-2.72271	16.2286	16.1743	16.3198
0.0210845	-2.61799	11.9047	11.8569	11.985
0.0210845	-2.51327	8.51686	8.47645	8.58488
0.0210845	-2.40855	5.9471	5.91442	6.00214
0.0210845	-2.30383	4.0698	4.04478	4.11193
0.0210845	-2.19911	2.75789	2.74003	2.78793
0.0210845	-2.0944	1.88859	1.87697	1.90804
0.0210845	-1.98968	1.34061	1.33354	1.35227
0.0210845	-1.88496	1.02543	1.02186	1.03098
0.0210845	-1.78024	0.861896	0.860124	0.864169
0.0210845	-1.67552	0.736802	0.73661	0.737034
0.0210845	-1.5708	0.665094	0.664264	0.666479
0.0210845	-1.46608	0.646837	0.64375	0.652059
0.0210845	-1.36136	0.710591	0.703379	0.722743
0.0210845	-1.25664	0.911115	0.89804	0.933032
0.0210845	-1.15192	1.32162	1.30329	1.35234
0.0210845	-1.0472	1.98966	1.96334	2.03412
0.0210845	-0.942478	3.09898	3.06315	3.16025
0.0210845	-0.837758	4.75646	4.71292	4.83034
0.0210845	-0.733038	7.12743	7.07325	7.21951
0.0210845	-0.628319	10.3425	10.277	10.4618
0.0210845	-0.523599	14.4881	14.413	14.6148
0.0210845	-0.418879	19.7226	19.6247	19.8694
0.0210845	-0.314159	26.1225	26.1772	26.2917
0.0210845	-0.20944	33.7838	33.685	33.9862
0.0210845	-0.10472	42.5475	42.4376	42.7337
0.0210845	-2.66454e-15	52.4677	52.3495	52.6679
0.0210845	0.10472	63.5442	63.4192	63.7556
0.0210845	0.20944	75.652	75.536	75.8473
0.0210845	0.314159	88.627	88.5094	88.8253
0.0210845	0.418879	102.121	102.003	102.32
0.0210845	0.523599	115.792	115.676	115.986
0.0210845	0.628319	129.555	129.445	129.741
0.0210845	0.733038	143.079	142.976	143.223
0.0210845	0.837758	156.006	155.912	156.131
0.0210845	0.942478	167.969	167.886	168.073
0.0210845	1.0472	178.438	178.371	178.551
0.0210845	1.15192	187.062	187.006	187.155
0.0210845	1.25664	193.786	193.742	193.859
0.0210845	1.36136	198.361	198.324	198.421
0.0210845	1.46608	200.569	200.544	200.611
0.0210845	1.5708	200.424	200.408	200.45
0.0210845	1.67552	197.936	197.928	197.95
0.0210845	1.78024	193.19	193.184	193.199
0.0210845	1.88496	186.279	186.277	186.282
0.0210845	1.98968	177.54	177.54	177.542
0.0210845	2.0944	167.263	167.261	167.267
0.0210845	2.19911	155.453	155.443	155.468
0.0210845	2.30383	142.638	142.624	142.66
