#x	y	new0_fix	flux_lukas
0.4685	2.40855	146.12	145.979
0.4685	2.51327	131.967	131.832
0.4685	2.61799	118.014	117.879
0.4685	2.72271	104.534	104.396
0.4685	2.82743	91.6126	91.5028
0.4685	2.93215	79.1958	79.0823
0.4685	3.03687	67.7988	67.6884
0.4685	3.14159	57.183	57.0676
0.477	-3.14159	50.646	50.615
0.477	-3.03687	41.5731	41.5494
0.477	-2.93215	33.5126	33.4886
0.477	-2.82743	26.6871	26.6621
0.477	-2.72271	21.0142	20.9909
0.477	-2.61799	16.2481	16.2236
0.477	-2.51327	12.5087	12.4828
0.477	-2.40855	9.67061	9.64312
0.477	-2.30383	7.59997	7.5709
0.477	-2.19911	6.15338	6.11117
0.477	-2.0944	5.17165	5.12716
0.477	-1.98968	4.56175	4.51666
0.477	-1.88496	4.21387	4.16856
0.477	-1.78024	4.04043	3.99531
0.477	-1.67552	3.97868	3.93409
0.477	-1.5708	4.06152	4.0088
0.477	-1.46608	4.13468	4.07372
0.477	-1.36136	4.24779	4.17815
0.477	-1.25664	4.50438	4.43781
0.477	-1.15192	5.00308	4.93957
0.477	-1.0472	5.85543	5.79478
0.477	-0.942478	7.1925	7.13435
0.477	-0.837758	9.15891	9.08822
0.477	-0.733038	11.8574	11.7706
0.477	-0.628319	15.4714	15.3856
0.477	-0.523599	20.1616	20.0758
0.477	-0.418879	25.8635	25.7744
0.477	-0.314159	32.7819	32.6912
0.477	-0.20944	41.0176	40.924
0.477	-0.10472	50.4442	50.3003
0.477	-2.66454e-15	60.8868	60.739
0.477	0.10472	72.551	72.3978
0.477	0.20944	84.8356	84.6744
0.477	0.314159	97.9906	97.823
0.477	0.418879	111.298	111.122
0.477	0.523599	124.965	124.783
0.477	0.628319	138.782	138.524
0.477	0.733038	152.267	152.021
0.477	0.837758	165.135	164.918
0.477	0.942478	177.01	176.789
0.477	1.0472	187.528	187.3
0.477	1.15192	196.345	196.113
0.477	1.25664	203.167	202.931
0.477	1.36136	207.729	207.522
0.477	1.46608	209.81	209.625
0.477	1.5708	209.432	209.249
0.477	1.67552	206.621	206.442
0.477	1.78024	201.424	201.289
0.477	1.88496	194.047	193.919
0.477	1.98968	184.818	184.697
0.477	2.0944	174.054	173.941
0.477	2.19911	162.069	161.99
0.477	2.30383	149.204	149.133
0.477	2.40855	135.881	135.818
0.477	2.51327	122.436	122.379
0.477	2.61799	109.175	109.122
0.477	2.72271	96.3621	96.3128
0.477	2.82743	83.7798	83.7342
0.477	2.93215	71.983	71.9392
0.477	3.03687	60.7653	60.7344
0.477	3.14159	50.646	50.615
0.4855	-3.14159	46.9416	46.9259
0.4855	-3.03687	38.0574	38.0447
0.4855	-2.93215	30.3704	30.3598
0.4855	-2.82743	23.8034	23.7909
0.4855	-2.72271	18.1539	18.143
0.4855	-2.61799	13.581	13.5731
0.4855	-2.51327	9.97634	9.96943
0.4855	-2.40855	7.22204	7.21596
0.4855	-2.30383	5.19102	5.18571
0.4855	-2.19911	3.76245	3.7499
0.4855	-2.0944	2.79758	2.79172
0.4855	-1.98968	2.20434	2.19837
0.4855	-1.88496	1.86411	1.85803
0.4855	-1.78024	1.69228	1.68617
0.4855	-1.67552	1.62912	1.62303
0.4855	-1.5708	1.61708	1.60222
0.4855	-1.46608	1.62605	1.6124
0.4855	-1.36136	1.73007	1.71757
0.4855	-1.25664	1.98479	1.97332
0.4855	-1.15192	2.4738	2.46303
0.4855	-1.0472	3.30332	3.29278
0.4855	-0.942478	4.56245	4.53485
0.4855	-0.837758	6.3932	6.36528
0.4855	-0.733038	8.97336	8.94417
0.4855	-0.628319	12.447	12.4155
0.4855	-0.523599	16.9503	16.9152
0.4855	-0.418879	22.6039	22.5639
0.4855	-0.314159	29.3714	29.3498
0.4855	-0.20944	37.2788	37.2029
0.4855	-0.10472	46.432	46.3416
0.4855	-2.66454e-15	56.5909	56.4517
0.4855	0.10472	67.6731	67.5256
0.4855	0.20944	79.6557	79.5018
0.4855	0.314159	92.14	91.977
0.4855	0.418879	105.113	104.943
0.4855	0.523599	118.067	117.889
0.4855	0.628319	131.109	130.921
0.4855	0.733038	143.918	143.722
0.4855	0.837758	156.151	155.947
0.4855	0.942478	167.453	167.241
0.4855	1.0472	177.476	177.258
0.4855	1.15192	185.876	185.674
0.4855	1.25664	192.309	192.129
0.4855	1.36136	196.623	196.443
0.4855	1.46608	198.672	198.493
0.4855	1.5708	198.388	198.216
0.4855	1.67552	195.671	195.532
0.4855	1.78024	190.756	190.624
0.4855	1.88496	183.829	183.705
0.4855	1.98968	175.126	175.025
0.4855	2.0944	164.866	164.78
0.4855	2.19911	153.484	153.408
0.4855	2.30383	141.32	141.253
0.4855	2.40855	128.713	128.655
0.4855	2.51327	115.984	115.932
0.4855	2.61799	103.398	103.365
0.4855	2.72271	90.9086	90.8794
0.4855	2.82743	78.8393	78.816
0.4855	2.93215	67.3662	67.3451
0.4855	3.03687	56.6378	56.6209
0.4855	3.14159	46.9416	46.9259
0.494	-3.14159	44.7179	44.7008
0.494	-3.03687	36.2305	36.2175
0.494	-2.93215	28.7916	28.7779
0.494	-2.82743	22.2742	22.2636
0.494	-2.72271	16.8679	16.8595
0.494	-2.61799	12.4902	12.4834
0.494	-2.51327	9.04021	9.03452
0.494	-2.40855	6.3725	6.36502
0.494	-2.30383	4.34501	4.33832
0.494	-2.19911	2.91449	2.90827
0.494	-2.0944	1.95572	1.94966
0.494	-1.98968	1.35167	1.34548
