#x	y	new0	0_E	0_M
0.562	0.002494	15.5871	0.687509	11.6504
0.562	0.0025015	14.7036	0.68494	11.0138
0.562	0.002509	14.3797	0.683883	10.7185
0.562	0.0025165	14.4494	0.684322	10.6595
0.562	0.002524	14.9338	0.686245	10.6107
0.562	0.0025315	16.0246	0.689722	10.5599
0.562	0.002539	17.2263	0.694118	10.615
0.562	0.0025465	18.8766	0.697368	11.0329
0.562	0.002554	20.9797	0.702173	11.8708
0.5705	0.002464	35.9075	1.01241	29.0544
0.5705	0.0024715	33.0565	1.00527	26.3129
0.5705	0.002479	30.7274	0.999277	24.0854
0.5705	0.0024865	28.8788	0.994409	22.4053
0.5705	0.002494	27.4915	0.990707	21.2904
0.5705	0.0025015	26.7016	0.988159	20.552
0.5705	0.002509	26.4091	0.986816	20.1751
0.5705	0.0025165	26.5127	0.986684	20.0879
0.5705	0.002524	27.0009	0.987784	20.0246
0.5705	0.0025315	27.9919	0.990143	19.9523
0.5705	0.002539	29.6732	0.993788	19.9443
0.5705	0.0025465	31.3047	0.997745	20.2823
0.5705	0.002554	33.3916	1.00152	21.0204
0.579	0.002464	52.1067	1.41441	42.455
0.579	0.0024715	49.4827	1.40835	39.7351
0.579	0.002479	47.2689	1.40313	37.6084
0.579	0.0024865	45.5211	1.39877	36.0973
0.579	0.002494	44.3908	1.39532	35.0287
0.579	0.0025015	43.6817	1.39275	34.3055
0.579	0.002509	43.4698	1.39111	33.9475
0.579	0.0025165	43.6505	1.39039	33.8546
0.579	0.002524	44.1826	1.39064	33.7698
0.579	0.0025315	45.1379	1.39188	33.6741
0.579	0.002539	46.7308	1.39413	33.6334
0.579	0.0025465	49.1587	1.39743	33.9165
0.579	0.002554	51.3043	1.40181	34.5824
