#x	y	new0_fix	new11a	new11b
0.025005	0.579	55.255	55.2283	55.4283
0.0256584	0.426	111.954	111.609	111.815
0.0256584	0.4345	81.1005	80.9217	80.9745
0.0256584	0.443	56.1973	56.0868	56.1639
0.0256584	0.4515	37.468	37.5615	37.5356
0.0256584	0.46	24.4788	24.4421	24.5191
0.0256584	0.4685	16.2836	16.2722	16.2949
0.0256584	0.477	12.1132	12.1049	12.1076
0.0256584	0.4855	10.7882	10.7872	10.7897
0.0256584	0.494	11.2931	11.2942	11.2937
0.0256584	0.5025	12.5424	12.5388	12.5452
0.0256584	0.511	13.9648	13.9623	13.9683
0.0256584	0.5195	15.3062	15.3033	15.3103
0.0256584	0.528	16.6038	16.5987	16.6107
0.0256584	0.5365	18.232	18.2214	18.2458
0.0256584	0.545	20.8604	20.8231	20.8635
0.0256584	0.5535	25.39	25.3787	25.423
0.0256584	0.562	32.9011	32.8342	32.9538
0.0256584	0.5705	44.2147	44.1861	44.3542
0.0256584	0.579	60.3544	60.0829	60.4405
