#x	y	stats	nuenorm1_anti	nuenorm2_anti	nuenorm3_anti	nuenorm4_anti	nuenorm5_anti
0.025005	0.002479	34.3946	34.393	34.3907	34.3893	34.3885	34.388
0.025005	0.0024865	25.3753	25.374	25.3175	25.2442	25.2046	25.1822
0.025005	0.002494	19.0732	18.9891	18.8703	18.6904	18.5783	18.515
0.025005	0.0025015	15.5847	15.3422	14.9586	14.6079	14.4194	14.3132
0.025005	0.002509	14.5825	14.1331	13.3582	12.8487	12.5752	12.4213
0.025005	0.0025165	14.6008	14.2929	13.685	13.2755	13.0148	12.8681
0.025005	0.002524	16.5416	16.4041	16.148	15.8872	15.7469	15.6678
0.025005	0.0025315	21.171	21.1527	21.0413	20.924	20.8608	20.8251
0.025005	0.002539	28.5619	28.5432	28.5169	28.501	28.4923	28.4874
0.025005	0.0025465	38.6341	38.6339	38.6336	38.5949	38.5532	38.5295
0.025005	0.002554	50.9475	50.859	50.7336	50.6574	50.616	50.5619
0.0256584	0.002464	70.8218	70.8217	70.8216	70.8214	70.8212	70.821
0.0256584	0.0024715	56.1704	56.1703	56.1702	56.1701	56.1327	56.1071
0.0256584	0.002479	44.442	44.3458	44.21	44.1281	44.0838	44.0587
0.0256584	0.0024865	35.3743	35.2802	35.0943	34.8223	34.6759	34.5934
0.0256584	0.002494	29.2936	29.0516	28.6045	28.1172	27.8479	27.685
0.0256584	0.0025015	25.8544	25.5096	24.6159	23.9019	23.4891	23.2273
0.0256584	0.002509	25.13	24.3962	22.926	21.9901	21.4891	21.2078
0.0256584	0.0025165	24.7792	24.2911	23.1722	22.3688	21.8853	21.6138
0.0256584	0.002524	26.4632	26.2	25.5829	25.0007	24.6864	24.4522
0.0256584	0.0025315	30.4785	30.4151	30.1447	29.9406	29.8128	29.696
0.0256584	0.002539	36.9795	36.9155	36.8251	36.7706	36.7373	36.6753
0.0256584	0.0025465	46.264	46.2629	46.2612	46.2291	46.1994	46.1826
0.0256584	0.002554	58.2936	58.2925	58.2909	58.2899	58.2893	58.2889
