#x	y	new0	new11a	new11b	new8
0.46	0.20944	105.634	105.634	105.635	105.468
0.46	0.314159	119.573	119.573	119.574	119.392
0.46	0.418879	134.238	134.238	134.239	134.045
0.46	0.523599	149.35	149.349	149.35	149.146
0.46	0.628319	164.574	164.574	164.575	164.363
0.46	0.733038	179.539	179.539	179.54	179.323
0.46	0.837758	193.806	193.803	193.811	193.582
0.46	0.942478	206.957	206.954	206.96	206.735
0.46	1.0472	218.6	218.599	218.603	218.386
0.46	1.15192	228.355	228.355	228.356	228.153
0.46	1.25664	235.889	235.889	235.889	235.703
0.46	1.36136	240.885	240.884	240.888	240.707
0.46	1.46608	243.157	243.157	243.158	243.003
0.46	1.5708	242.691	242.691	242.691	242.564
0.46	1.67552	239.512	239.512	239.512	239.414
0.46	1.78024	233.694	233.694	233.694	233.611
0.46	1.88496	225.464	225.463	225.464	225.411
0.46	1.98968	215.171	215.169	215.172	215.148
0.46	2.0944	203.168	203.164	203.172	203.172
0.46	2.19911	189.843	189.835	189.85	189.872
0.46	2.30383	175.598	175.585	175.61	175.648
0.46	2.40855	160.829	160.813	160.835	160.882
0.46	2.51327	145.892	145.882	145.903	145.959
0.46	2.61799	131.163	131.148	131.178	131.239
0.46	2.72271	116.936	116.916	116.957	117.017
0.46	2.82743	103.457	103.433	103.483	103.54
0.46	2.93215	90.7712	90.7119	90.8372	90.817
0.46	3.03687	78.8448	78.7751	78.9155	78.8901
0.46	3.14159	67.9206	67.8864	67.9581	67.95
0.4685	-3.14159	57.183	57.233	57.2033	57.2999
0.4685	-3.03687	47.8783	47.8586	47.8999	47.9217
0.4685	-2.93215	39.5472	39.5279	39.5685	39.5641
0.4685	-2.82743	32.392	32.3728	32.4134	32.4052
0.4685	-2.72271	26.4705	26.452	26.491	26.4798
0.4685	-2.61799	21.6918	21.6747	21.7108	21.6974
0.4685	-2.51327	17.8567	17.8423	17.8728	17.8471
0.4685	-2.40855	14.8927	14.8806	14.9064	14.8827
0.4685	-2.30383	12.7339	12.7241	12.7448	12.724
0.4685	-2.19911	11.2371	11.2298	11.2453	11.2277
0.4685	-2.0944	10.2633	10.2584	10.2688	10.2548
0.4685	-1.98968	9.68336	9.68046	9.68658	9.67592
0.4685	-1.88496	9.38357	9.37473	9.3854	9.37757
0.4685	-1.78024	9.2143	9.20864	9.22055	9.20875
0.4685	-1.67552	9.16153	9.15841	9.16494	9.15585
0.4685	-1.5708	9.18875	9.18746	9.19013	9.18225
0.4685	-1.46608	9.38282	9.38223	9.38345	9.37511
0.4685	-1.36136	9.56454	9.56453	9.56455	9.55381
0.4685	-1.25664	9.89272	9.89134	9.89417	9.87634
0.4685	-1.15192	10.4148	10.4146	10.4151	10.3922
0.4685	-1.0472	11.3054	11.3054	11.3055	11.2747
0.4685	-0.942478	12.7018	12.7012	12.7026	12.6609
0.4685	-0.837758	14.7554	14.7534	14.7579	14.7023
0.4685	-0.733038	17.6248	17.6208	17.6296	17.5572
0.4685	-0.628319	21.3305	21.3298	21.3315	21.2624
0.4685	-0.523599	26.0559	26.054	26.0583	25.9723
0.4685	-0.418879	31.987	31.9836	31.9913	31.886
0.4685	-0.314159	39.2268	39.2216	39.2333	39.1069
0.4685	-0.20944	47.7758	47.7688	47.7845	47.6604
0.4685	-0.10472	57.4182	57.4093	57.4292	57.2845
0.4685	-2.66454e-15	68.3999	68.3894	68.4131	68.2473
0.4685	0.10472	80.2855	80.2822	80.29	80.1493
0.4685	0.20944	93.1455	93.1416	93.1509	92.9945
0.4685	0.314159	106.612	106.608	106.618	106.482
0.4685	0.418879	120.557	120.553	120.563	120.417
0.4685	0.523599	134.923	134.919	134.929	134.776
0.4685	0.628319	149.395	149.391	149.401	149.243
0.4685	0.733038	163.616	163.613	163.621	163.462
0.4685	0.837758	177.204	177.201	177.208	177.079
0.4685	0.942478	189.731	189.723	189.743	189.574
0.4685	1.0472	200.789	200.782	200.798	200.64
0.4685	1.15192	210.05	210.045	210.057	209.914
0.4685	1.25664	217.201	217.198	217.206	217.081
0.4685	1.36136	221.993	221.992	221.995	221.893
0.4685	1.46608	224.186	224.181	224.192	224.096
0.4685	1.5708	223.738	223.736	223.742	223.675
0.4685	1.67552	220.717	220.717	220.719	220.681
0.4685	1.78024	215.244	215.244	215.244	215.281
0.4685	1.88496	207.488	207.487	207.49	207.493
0.4685	1.98968	197.714	197.714	197.715	197.745
0.4685	2.0944	186.318	186.317	186.318	186.373
0.4685	2.19911	173.666	173.664	173.667	173.743
0.4685	2.30383	160.14	160.137	160.144	160.303
0.4685	2.40855	146.12	146.112	146.127	146.295
0.4685	2.51327	131.967	131.953	131.982	132.144
0.4685	2.61799	118.014	117.992	118.038	118.179
0.4685	2.72271	104.534	104.507	104.569	104.625
0.4685	2.82743	91.6126	91.602	91.624	91.6919
0.4685	2.93215	79.1958	79.1821	79.2106	79.2734
0.4685	3.03687	67.7988	67.7827	67.8164	67.8437
0.4685	3.14159	57.183	57.233	57.2033	57.2999
0.477	-3.14159	50.646	50.6372	50.6556	50.7071
0.477	-3.03687	41.5731	41.5639	41.589	41.6087
0.477	-2.93215	33.5126	33.5029	33.5234	33.5429
0.477	-2.82743	26.6871	26.6774	26.6979	26.7117
0.477	-2.72271	21.0142	21.0058	21.0237	21.0177
0.477	-2.61799	16.2481	16.2405	16.2566	16.2488
0.477	-2.51327	12.5087	12.5024	12.5158	12.5071
0.477	-2.40855	9.67061	9.66575	9.67614	9.66729
0.477	-2.30383	7.59997	7.59659	7.60383	7.5956
0.477	-2.19911	6.15338	6.15861	6.1629	6.15055
0.477	-2.0944	5.17165	5.16379	5.18047	5.16911
0.477	-1.98968	4.56175	4.55656	4.56758	4.5592
0.477	-1.88496	4.21387	4.21092	4.21717	4.21158
0.477	-1.78024	4.04043	4.03917	4.04185	4.03849
0.477	-1.67552	3.97868	3.97842	3.97897	3.9769
0.477	-1.5708	4.06152	4.0615	4.06153	4.05957
0.477	-1.46608	4.13468	4.13438	4.13503	4.13182
0.477	-1.36136	4.24779	4.24748	4.24812	4.24221
0.477	-1.25664	4.50438	4.50437	4.50441	4.49555
0.477	-1.15192	5.00308	5.00247	5.00384	4.98964
0.477	-1.0472	5.85543	5.85338	5.85789	5.83583
0.477	-0.942478	7.1925	7.18826	7.19754	7.165
0.477	-0.837758	9.15891	9.15182	9.16728	9.12164
0.477	-0.733038	11.8574	11.8551	11.8603	11.8082
